n, mikro_s
737,4.1163
738,4.17948
739,4.24981
740,4.27127
741,4.25816
742,4.15444
743,4.32611
744,4.27365
745,4.31538
746,4.21166
747,4.36425
748,4.23551
749,4.48942
750,4.20809
751,4.28677
752,4.14848
753,4.29034
754,4.17233
755,4.10676
756,4.37856
757,4.24504
758,4.26531
759,4.15087
760,4.30107
761,4.09245
762,4.24266
763,4.28319
764,4.11868
765,4.26531
766,4.40478
767,4.13895
768,4.22478
769,4.18067
770,4.32611
771,4.17113
772,4.17948
773,4.31538
774,4.18305
775,4.19974
776,4.22955
777,4.2367
778,4.17948
779,4.47392
780,4.34399
781,4.28081
782,4.26412
783,4.41909
784,4.36783
785,4.27127
786,4.30226
787,4.31061
788,4.38452
789,4.38333
790,4.28677
791,4.23431
792,4.23551
793,3.99351
794,4.24504
795,4.12941
796,4.19974
797,4.38571
798,4.21762
799,4.13537
800,4.09126
801,4.28677
802,4.50134
803,4.33207
804,4.39286
805,4.25458
806,4.17471
807,4.15087
808,4.27961
809,4.19617
810,4.16756
811,4.36664
812,4.14968
813,4.2069
814,4.35829
815,4.2963
816,4.04119
817,4.27485
818,4.12941
819,4.11868
820,4.23193
821,4.24147
822,4.43339
823,4.24862
824,4.16875
825,4.34756
826,4.38571
827,4.1306
828,4.17471
829,4.22955
830,4.31418
831,4.21166
832,4.23551
833,4.17948
834,4.35829
835,4.17709
836,4.21524
837,4.21762
838,4.22478
839,4.27723
840,4.26412
841,4.11272
842,4.21882
843,4.60982
844,4.39405
845,4.37617
846,4.22716
847,4.31657
848,4.50373
849,4.19378
850,4.38333
851,4.37856
852,4.1163
853,4.10914
854,4.33683
855,4.4322
856,4.60505
857,4.24981
858,4.43339
859,4.31895
860,4.55976
861,4.48227
862,4.26173
863,4.50373
864,4.43697
865,4.35948
866,4.32372
867,4.46558
868,4.5085
869,4.0555
870,4.49896
871,4.35591
872,4.32014
873,4.33922
874,4.39286
875,4.5073
876,4.33564
877,4.22597
878,4.27127
879,4.52161
880,4.16398
881,4.44174
882,4.49657
883,4.45366
884,4.43578
885,4.42028
886,4.39167
887,4.47392
888,4.28796
889,4.63367
890,4.61102
891,4.34041
892,4.38809
893,4.51565
894,4.47035
895,4.53591
896,4.57525
897,4.58002
898,4.46081
899,4.48704
900,4.41432
901,4.58241
902,4.33326
903,4.74691
904,4.47989
905,4.38333
906,4.37617
907,4.63724
908,4.37975
909,4.20332
910,4.3714
911,4.48585
912,4.42982
913,4.56572
914,4.67062
915,4.40717
916,4.37856
917,4.59909
918,4.23312
919,4.48108
920,4.53234
921,4.64201
922,4.70757
923,4.462
924,4.38809
925,4.4167
926,4.51803
927,4.61578
928,4.44055
929,4.53591
930,4.53949
931,4.58002
932,4.41313
933,4.25577
934,4.60029
935,4.51803
936,4.45724
937,4.26292
938,4.26769
939,4.35591
940,4.54187
941,4.48823
942,4.33683
943,4.26769
944,4.39525
945,4.61459
946,4.38571
947,4.44174
948,4.29749
949,4.45008
950,4.34756
951,4.5085
952,4.493
953,4.43101
954,4.42505
955,4.43697
956,4.60148
957,4.45604
958,4.51803
959,4.5085
960,4.50373
961,4.40359
962,4.52399
963,4.48585
964,4.41909
965,4.58121
966,4.55856
967,4.19497
968,4.38094
969,4.34279
970,4.34399
971,4.38213
972,4.57048
973,4.41551
974,4.60386
975,4.21882
976,4.36783
977,4.36068
978,4.47273
979,4.36783
980,4.54664
981,4.4179
982,4.40359
983,4.3726
984,4.48465
985,4.6289
986,4.46916
987,4.47154
988,4.63009
989,4.43459
990,4.45485
991,4.19497
992,4.53711
993,4.36544
994,4.51326
995,4.38809
996,4.37617
997,4.50492
998,4.51922
999,4.43339
