n, mikro_s
794,106.79722
795,108.48284
796,107.76758
797,108.54006
798,108.77609
799,108.68549
800,108.63066
801,109.0312
802,109.07888
803,110.00633
804,108.95729
805,109.28631
806,108.95729
807,109.30061
808,109.26723
809,109.46751
810,109.64632
811,109.70592
812,109.46512
813,109.74646
814,109.33399
815,109.98726
816,109.4842
817,109.59148
818,109.67493
819,111.04345
820,111.29856
821,109.65586
822,111.51314
823,110.77881
824,110.18991
825,110.00872
826,110.84318
827,110.53324
828,110.8861
829,111.24372
830,111.73248
831,111.47738
832,111.19366
833,111.30333
834,111.60374
835,111.52267
836,111.54413
837,112.67662
838,112.29277
839,112.288
840,111.99236
841,112.02812
842,113.30605
843,113.02233
844,113.56592
845,113.30366
846,112.83875
847,112.93888
848,113.13915
849,113.00564
850,113.91878
851,113.85679
852,113.01517
853,113.28697
854,114.10475
855,113.67559
856,114.74609
857,113.91878
858,113.88302
859,115.89527
860,114.90583
861,114.8057
862,114.97974
863,115.15379
864,115.7403
865,115.04412
866,115.41843
867,116.19806
868,116.04786
869,116.23859
870,116.12892
871,115.85236
872,116.46271
873,116.39118
874,116.89901
875,116.62722
876,116.97054
877,117.32578
878,118.00289
879,117.34247
880,117.58327
881,118.56079
882,118.62755
883,118.65854
884,119.36426
885,118.83497
886,119.19975
887,119.15207
888,119.09723
889,119.18783
890,120.22257
891,119.14968
892,119.524
893,120.03899
894,120.9116
895,120.70417
896,120.71133
897,120.36085
898,120.99743
899,121.92249
900,120.93544
901,121.59348
902,121.26207
903,121.30737
904,122.1323
905,123.38161
906,122.00832
907,121.86289
908,122.90955
909,122.11323
910,122.76173
911,123.30294
912,122.05601
913,122.64729
914,122.94054
915,123.01207
916,124.26376
917,123.2934
918,123.63434
919,123.46745
920,126.29032
921,124.42589
922,124.20654
923,126.57881
924,123.96574
925,125.19836
926,124.10641
927,124.41635
928,124.68338
929,125.60844
930,126.14727
931,124.94564
932,124.65
933,125.62513
934,125.54169
935,125.93269
936,126.99366
937,125.82302
938,126.19019
939,126.35946
940,127.31791
941,126.95551
942,127.05088
943,127.12479
944,126.8816
945,128.74603
946,129.09174
947,127.80428
948,128.12138
949,128.19767
950,129.02737
951,128.18098
952,128.54576
953,127.99025
954,128.83425
955,129.30393
956,128.78418
957,128.77464
958,128.85332
959,129.41599
960,129.18711
961,130.81312
962,129.76885
963,130.19085
964,131.3448
965,129.85229
966,130.84173
967,131.72388
968,129.91905
969,131.43063
970,130.63669
971,130.76782
972,131.3591
973,131.82878
974,131.37817
975,132.10058
976,132.37476
977,131.36864
978,132.29609
979,132.54642
980,132.25079
981,133.32367
982,132.54881
983,133.09956
984,131.98137
985,132.51781
986,133.16393
987,133.21877
988,133.07333
989,133.10909
990,132.90167
991,133.20923
992,133.52394
993,133.93164
994,133.20208
995,133.62408
996,134.11045
997,134.50861
998,134.38225
999,135.04028
